Date,NSE:GOLDBEES,NSE:ABB,NSE:ADANIENSOL,NSE:ADANIENT,NSE:ADANIGREEN,NSE:ADANIPORTS,NSE:ADANIPOWER,NSE:ATGL,NSE:AMBUJACEM,NSE:APOLLOHOSP,NSE:ASIANPAINT,NSE:DMART,NSE:AXISBANK,NSE:BAJAJ-AUTO,NSE:BAJFINANCE,NSE:BAJAJFINSV,NSE:BAJAJHLDNG,NSE:BANKBARODA,NSE:BEL,NSE:BHEL,NSE:BPCL,NSE:BHARTIARTL,NSE:BOSCHLTD,NSE:BRITANNIA,NSE:CANBK,NSE:CHOLAFIN,NSE:CIPLA,NSE:COALINDIA,NSE:DLF,NSE:DABUR,NSE:DIVISLAB,NSE:DRREDDY,NSE:EICHERMOT,NSE:GAIL,NSE:GODREJCP,NSE:GRASIM,NSE:HCLTECH,NSE:HDFCBANK,NSE:HDFCLIFE,NSE:HAVELLS,NSE:HEROMOTOCO,NSE:HINDALCO,NSE:HAL,NSE:HINDUNILVR,NSE:ICICIBANK,NSE:ICICIGI,NSE:ICICIPRULI,NSE:ITC,NSE:IOC,NSE:IRCTC,NSE:IRFC,NSE:INDUSINDBK,NSE:NAUKRI,NSE:INFY,NSE:INDIGO,NSE:JSWENERGY,NSE:JSWSTEEL,NSE:JINDALSTEL,NSE:JIOFIN,NSE:KOTAKBANK,NSE:LTIM,NSE:LT,NSE:LICI,NSE:LODHA,NSE:M&M,NSE:MARUTI,NSE:NHPC,NSE:NTPC,NSE:NESTLEIND,NSE:ONGC,NSE:PIDILITIND,NSE:PFC,NSE:POWERGRID,NSE:PNB,NSE:RECLTD,NSE:RELIANCE,NSE:SBILIFE,NSE:MOTHERSON,NSE:SHREECEM,NSE:SHRIRAMFIN,NSE:SIEMENS,NSE:SBIN,NSE:SUNPHARMA,NSE:TVSMOTOR,NSE:TCS,NSE:TATACONSUM,NSE:TATAMOTORS,NSE:TATAPOWER,NSE:TATASTEEL,NSE:TECHM,NSE:TITAN,NSE:TORNTPHARM,NSE:TRENT,NSE:ULTRACEMCO,NSE:UNIONBANK,NSE:UNITDSPR,NSE:VBL,NSE:VEDL,NSE:WIPRO,NSE:ZOMATO,NSE:ZYDUSLIFE,,NSE:3MINDIA,NSE:ACC,NSE:AIAENG,NSE:APLAPOLLO,NSE:AUBANK,NSE:ABBOTINDIA,NSE:AWL,NSE:ABCAPITAL,NSE:ABFRL,NSE:AJANTPHARM,NSE:ALKEM,NSE:APOLLOTYRE,NSE:ASHOKLEY,NSE:ASTRAL,NSE:AUROPHARMA,NSE:BSE,NSE:BALKRISIND,NSE:BANDHANBNK,NSE:BANKINDIA,NSE:MAHABANK,NSE:BAYERCROP,NSE:BERGEPAINT,NSE:BDL,NSE:BHARATFORG,NSE:BHARTIHEXA,NSE:BIOCON,NSE:CGPOWER,NSE:CRISIL,NSE:CARBORUNIV,NSE:COCHINSHIP,NSE:COFORGE,NSE:COLPAL,NSE:CONCOR,NSE:COROMANDEL,NSE:CUMMINSIND,NSE:DALBHARAT,NSE:DEEPAKNTR,NSE:DELHIVERY,NSE:DIXON,NSE:EMAMILTD,NSE:ENDURANCE,NSE:ESCORTS,NSE:EXIDEIND,NSE:NYKAA,NSE:FEDERALBNK,NSE:FACT,NSE:FORTIS,NSE:GMRAIRPORT,NSE:GICRE,NSE:GLAND,NSE:GLAXO,NSE:MEDANTA,NSE:GODREJIND,NSE:GODREJPROP,NSE:GRINDWELL,NSE:FLUOROCHEM,NSE:GUJGASLTD,NSE:HDFCAMC,NSE:HINDPETRO,NSE:HINDZINC,NSE:POWERINDIA,NSE:HONAUT,NSE:HUDCO,NSE:IDBI,NSE:IDFCFIRSTB,NSE:IRB,NSE:INDIANB,NSE:INDHOTEL,NSE:IOB,NSE:IREDA,NSE:IGL,NSE:INDUSTOWER,NSE:IPCALAB,NSE:JKCEMENT,NSE:JSWINFRA,NSE:JSL,NSE:JUBLFOOD,NSE:KPRMILL,NSE:KEI,NSE:KPITTECH,NSE:KALYANKJIL,NSE:LTF,NSE:LTTS,NSE:LICHSGFIN,NSE:LINDEINDIA,NSE:LLOYDSME,NSE:LUPIN,NSE:MRF,NSE:M&MFIN,NSE:MRPL,NSE:MANKIND,NSE:MARICO,NSE:MFSL,NSE:MAXHEALTH,NSE:MAZDOCK,NSE:METROBRAND,NSE:MSUMI,NSE:MPHASIS,NSE:MUTHOOTFIN,NSE:NLCINDIA,NSE:NMDC,NSE:NAM-INDIA,NSE:OBEROIRLTY,NSE:OIL,NSE:PAYTM,NSE:OFSS,NSE:POLICYBZR,NSE:PIIND,NSE:PAGEIND,NSE:PATANJALI,NSE:PERSISTENT,NSE:PETRONET,NSE:PHOENIXLTD,NSE:POLYCAB,NSE:POONAWALLA,NSE:PRESTIGE,NSE:PGHH,NSE:RVNL,NSE:SBICARD,NSE:SJVN,NSE:SKFINDIA,NSE:SRF,NSE:SCHAEFFLER,NSE:SOLARINDS,NSE:SONACOMS,NSE:STARHEALTH,NSE:SAIL,NSE:SUNTV,NSE:SUNDARMFIN,NSE:SUNDRMFAST,NSE:SUPREMEIND,NSE:SUZLON,NSE:SYNGENE,NSE:TATACHEM,NSE:TATACOMM,NSE:TATAELXSI,NSE:TATAINVEST,NSE:TATATECH,NSE:NIACL,NSE:THERMAX,NSE:TIMKEN,NSE:TORNTPOWER,NSE:TIINDIA,NSE:UNOMINDA,NSE:UPL,NSE:UBL,NSE:IDEA,NSE:VOLTAS,NSE:YESBANK,NSE:ZFCVINDIA
21/03/2025,73.95,5457.5,831.7,2362.8,954.25,1188.8,522.1,630.7,514.5,6611.55,2300.4,3892.2,1070.15,8067.85,8916.1,1847.25,12273.55,216.7,295.74,211.95,279.66,1725.8,27432.25,4814,87.54,1538.5,1523.85,405.4,695.9,506.8,5797.35,1200.15,5305.95,175.05,1111.95,2478.65,1566.7,1770.35,679.6,1480.8,3629,695.35,3891.25,2246.2,1343.1,1723.2,581.4,405.55,131.51,722.2,129.66,686.9,6916,1592.55,5044.05,559.7,1058.7,914.3,229.12,2079,4520.25,3415.95,791.35,1180.75,2801.85,11732.8,82.56,351.3,2268.85,242.42,2825.5,407.8,283.1,93.14,428.95,1276.35,1546.4,131.34,28987.4,676.8,5200.65,753.2,1784.5,2413.85,3578.1,961.2,702.95,379.5,157.28,1409.25,3162.7,3223.1,5150.05,10976.75,122.52,1391.6,537.95,467.3,264.3,227.52,918.6,#N/A,28528.6,1915.65,3328.75,1511.55,542.8,30292.1,265.25,185.52,253.26,2714.1,4979,425.85,210.84,1299.85,1200.35,4779.75,2609.85,144.96,105.84,47.98,4874.25,500.3,1293.1,1181.3,1337.1,344.1,641.25,4233.8,1022.2,1438.25,7746.8,2401.1,689.65,1977,2937.75,1747.4,2057.8,263.62,14056.8,576,1964.55,3228.3,358.65,172.52,187.3,672.1,628.25,77.36,445.35,1585.4,2935.65,1265.15,1206.45,2143.95,1787.25,3938.45,413.25,3994.55,356.95,446.4,12059.7,33910,202.8,81.37,56.29,46.8,547.95,824.7,43.56,154.82,198.14,348.85,1407.05,4822.5,312.8,625.7,629.05,934.45,2890.3,1323.4,471.2,155.09,4670.4,571.7,6471.6,1312.15,2114.7,112050.15,291.35,135.53,2415.05,630.8,1140.05,1170.25,2591.4,1073.85,54.22,2429.95,2356.6,257.49,67.51,563.1,1652.5,393.6,751.05,7644.4,1603,3456.7,42127.95,1761.05,5275.55,301.25,1666.15,4992.3,334.8,1226.15,13859.8,361.35,857.5,95.23,3809.05,3024.35,3649.15,10650.65,509.35,364.45,115.3,635,4921.65,936.6,3427.85,56.5,716,847.25,1610,5462.95,6433.85,685.75,165.04,3496.1,2706.6,1498.55,2872.15,974.1,658.85,1933.45,7.62,1429.5,17.17,11983.75
14/03/2025,74.13,5410.9,795.6,2308.5,896,1158.8,509.55,602,491,6246.8,2222,3833.85,1034,7500.05,8682.5,1875.1,11648,209.34,280.1,203.88,261.41,1627.3,26421.2,4768.3,83.92,1458.75,1508.65,389.3,674.8,495.3,5620.45,1151.5,5050.2,156.9,1056,2400,1545,1732.2,640.55,1518.1,3490,697.85,3441,2201.4,1248.65,1727,548.8,407.8,125.15,690.6,118.7,672.65,6468,1609.35,4806.25,548.35,1018.05,897.95,223.1,1995,4359.35,3175.55,744.5,1064.5,2644.5,11714.55,78.16,331.7,2202.05,229.61,2752.85,390.5,270.8,88.95,412.95,1246.65,1439.5,120.95,27700.05,642.3,4931,723.3,1747.8,2266,3499.9,941.4,660.1,362.7,152.01,1430.65,3016.4,3068.2,5150,10531.55,112.5,1354,507.75,460,264.2,204.28,880,#N/A,27564.35,1884,3201,1405.6,492.05,30220,248.13,166.49,241,2602.25,4810.6,410.1,199,1254.25,1115.9,3969.05,2546.75,138.23,98.58,45.95,4859.8,505.6,1106,1099.95,1348.25,336.35,613.55,4372.4,986.3,1340.9,7566,2389.5,645,1962.7,2865,1714.4,1979.95,251.8,13075.05,546.4,1919.75,2957.2,335.65,164.58,176.69,627.05,599.4,74.8,390,1555,2720,1235.25,1132.95,1979,1572.15,3834.4,382.85,3743.65,325,436.4,12650,33892.75,190,72.93,52.84,42.74,499.45,752.15,41.05,139.73,190.53,326.95,1324.5,4350,264,647.85,627.9,896.35,3265.95,1246,434.45,142.62,4454,520.25,6095,1196.1,2034.65,107839.2,275.5,114.84,2164.75,621.35,1051,998,2324,1082.05,51.56,2201.85,2317.9,238.24,65.15,540,1565.15,385.8,741.4,7478,1454,3370.95,40050,1728,5100,283.25,1566,5020,306.25,1097.65,13410,326.8,839.3,85.32,3653.25,3023.5,3375.2,10085.65,486.1,354.5,106.5,577.95,4762.7,900.7,3421.15,54.5,682.8,817.6,1502,5269.35,6180,648.05,146.43,3277.3,2594.95,1375.95,2871.85,931,635.2,1899.75,6.94,1459.5,16.11,12100
07/03/2025,72.21,5326.55,747.6,2247.5,837.2,1144.5,506.15,607.2,499.8,6216.1,2270,3593.6,1037.65,7574.75,8404.5,1845.3,11774.95,205.9,276.99,196.95,261.26,1630.7,27033.4,4748.25,85.02,1457.35,1458.45,380.65,667.05,495.8,5578.75,1133.25,5100.7,158.14,1045.3,2407.25,1557.95,1689.25,625.2,1460.55,3652.5,691.35,3452.05,2204.55,1214.55,1686.95,549.55,403.9,124.84,700.65,123.42,936.75,6833.85,1686,4657.55,491.7,1011.15,908.95,221.81,1935.4,4721.95,3244.7,763.15,1113,2727.85,11664.15,77.03,329.55,2238.45,232.89,2751.2,401.1,263.3,91.17,406.2,1249.8,1411.6,127.79,27985.2,630.85,5106.1,732.75,1609.3,2332.9,3611.2,962.05,648.3,351.45,151.56,1492.35,3079.35,3073.8,4999.85,10582.4,117.78,1327.85,487.75,445.45,284.8,216.83,900.8,#N/A,27723.3,1885.75,3135.85,1458.25,544.3,30768.3,260.84,160.85,242.31,2562.85,4738.05,411.7,209.78,1332.65,1097.4,4178.3,2559.6,149.93,97.41,47.96,4877.45,509.35,1135.2,1087.8,1343.05,333.7,630.05,4488.95,921.25,1335.85,7707.25,2474.15,656.65,1756.3,2899.05,1696.35,1989,255.45,13911.25,551.75,1882.65,3011.1,355.85,164.79,180.51,659.2,629.5,72.82,382.4,1641.55,2751.6,1226.2,1109.8,2008.35,1624.35,3730.6,389,3834.2,332.45,429.35,13049.35,35812.8,182.27,72.79,57.34,44.51,530.15,744.3,44.67,149.59,188.49,327.4,1333.1,4421.55,269.9,654.6,602.8,865.5,3223.85,1305.4,431.7,141.71,4822,532.4,6222.1,1151.7,2030,107202.95,274.65,113.67,2316.05,609.65,1036.6,980.75,2338.2,1120.85,52.55,2302.25,2179.45,225.04,67.13,528.95,1543.15,369.75,684.85,7569.1,1397.8,3219.1,40067.15,1749.65,5278.8,285.9,1560.15,5063.45,288.45,1144.85,13502.3,341.5,834.8,87.76,3775.9,2935.35,3274.9,9486.5,517.6,366.55,110.91,569.9,4435.7,950.15,3390.45,54.92,679.65,815.3,1383.85,5624.15,6384.8,671.55,151.98,3359.8,2577.55,1332,2701.8,870.65,629.85,1922.3,7.55,1405.45,16.88,11416.95
28/02/2025,71.1,4935.4,650.9,2096,774.4,1069.4,478.95,557.15,464.95,6052.6,2179.75,3403.95,1015.55,7902.9,8530.3,1872.3,11574.35,197.07,246.25,179.17,237.3,1570.2,26544,4595.45,80.9,1400.75,1407.5,369.35,635.55,493.3,5480.25,1116.5,4773.6,156.04,1005.15,2306.65,1575.05,1732.4,608.5,1421.8,3681.1,634.35,3088.2,2190.25,1204.1,1690.95,551.6,395,113.49,670.95,112.42,990.1,6992.65,1687.7,4477.3,464.1,950.7,856.15,207.61,1902.95,4665.95,3163.85,740.5,1130.9,2585.1,11945.85,72.9,311.45,2189.65,225.25,2657.9,364.3,250.85,87.39,360.3,1200.1,1430.5,118.59,27284,617.3,4623.5,688.8,1593.25,2225.5,3483.25,963.7,620.65,339.2,137.2,1487.85,3077.25,2948.1,4851.55,10128.45,112.1,1284.45,436.05,394.75,277.65,222.1,876.6,#N/A,26297.3,1818.55,3141.25,1438.95,565.7,30395.65,246.15,156.33,242.15,2485.95,4646.2,374.3,212.94,1337.25,1058.3,4633.7,2615.65,141.19,95.16,46.41,4729.1,488.55,975.4,1016.5,1304.4,302.45,572.6,4388.4,831.65,1268.55,7362.15,2464.6,623.7,1666.95,2717.95,1689.65,1851.3,249.85,13935.85,529.95,1765.75,2868.95,347.8,158.8,177.62,691.7,612.7,69.47,368.9,1552.8,2475.35,1149.65,1097.6,1936.3,1437.85,3584.85,370.35,3628.3,293.75,390.8,11284.35,33701.65,165.14,69.24,58.39,43.26,510.8,716.1,43.53,156.02,189.48,323.35,1355.35,4389.35,254.75,584.85,626.1,801.6,3070.15,1197.4,462.25,134.73,4533.2,496.9,5927.05,1021.1,1904.65,105373.7,270.6,105.8,2290.6,600.6,998.1,978.1,2131.05,1117.15,47,2247.25,2132.8,207.04,62.48,513.3,1484.5,342.7,714.95,7763.9,1463.6,3013.95,40515.95,1760.55,5303.9,283.3,1548.1,4713.4,281.3,1126.6,13541.9,332.4,838.8,84.11,3690.3,2795.4,3061.25,8710.6,493.9,375.3,105.02,561.5,4537.75,933.9,3329,49.71,652.4,777.35,1352.5,5411.1,6065.45,671.75,142.11,3248.5,2474.2,1262.95,2462.15,825.9,632.95,1946.15,7.55,1320.1,16.75,10941.9
21/02/2025,72.08,5291.4,670.95,2133.1,849.35,1083.25,478.65,581.75,481.95,6317.55,2257.6,3596.7,1008.95,8506.05,8396.7,1879.35,12207.85,210.27,256.1,196.41,251.3,1639.25,27334.1,4831.9,87.33,1384.15,1475.75,369.95,686.25,508.65,5757.05,1151.8,4962.45,164.21,1052.2,2431.05,1700.7,1692.5,622.85,1520.3,3852.6,653.55,3368.5,2241.65,1232.95,1733.1,574,400.9,121.33,731.1,125.11,1043.75,7537.1,1815,4510.75,496.6,981.9,880.35,233.67,1953.05,5298.5,3315.1,780.9,1215.55,2669.35,12323.45,79.89,326.25,2214.95,239.9,2795.7,389.7,261.9,94.25,403.55,1228.15,1495.4,128.78,28405.7,585.1,4921.35,722,1643.75,2324.95,3786,1004,673.2,357.2,140.76,1649.5,3179.9,3039.35,5048.2,11157.25,115.68,1306.5,477.65,438.2,306.35,230.36,885.35,#N/A,27344.1,1884,3394.1,1489.2,537.6,28941.95,260.35,157.28,250.6,2606.5,4601.25,408.65,222.53,1387.2,1115.15,5757.8,2708.5,139.38,101.51,49.71,4825.6,491.25,1009.6,1058.95,1318.05,322.5,589.95,4650.1,899.45,1324,7496.2,2458.75,687.6,1708.5,2836.15,1741.75,1932.75,273.35,13971.9,556.65,1877.25,3066.6,365.3,164.22,179.85,706.4,619.35,69.93,385.25,1526.6,2508.7,1235.55,1131.5,1991.35,1509.15,3704.3,405.3,3793.1,323,426.65,11567.1,33813.4,189.66,73.09,60.63,47.46,516.1,757.55,46.61,177.34,201.4,336.4,1444.95,4580.15,259.3,625.6,692.35,810.8,3844.45,1310.1,485.25,135.74,5123.1,544.05,6164.8,1193.55,1905.35,109263.3,270.45,115.63,2327.75,624.8,1052.2,1010.25,2119.45,1138.4,49.1,2567.55,2212.1,223.78,67.73,532.15,1581.8,392.4,766.15,8405,1562.75,3145.4,41132.3,1856.9,5710.3,301.55,1587.4,5840.1,290.6,1216.3,13717.55,371.7,835.2,92.99,3817.35,2778.9,3198.55,8850.5,507.45,384.8,112.76,575.95,4648.15,969.7,3670.05,55.17,713.75,846.05,1450.15,5960.45,5941.15,742.55,160.41,3321.55,2570.65,1289.3,2685.65,853.1,646.35,2019.4,8.04,1269,17.93,10807.55
